Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
CHIZ BROS INC,253,,,TRIUMPH INSULATION,35592531.24,,,733648000,30075436.38,,,733648000,11003367.44,
ARMIL / C F S INC,174,,,CORNING SHARED SERVICES,12843518.78,,,735602000,16151536.25,,,734370000,10627732.81,
ZAR-TECH,165,,,THERMAL PRODUCTS INC,7209418.18,,,734370000,12641200,,,735602000,10543453.82,
PYROTEK INC,164,,,WESTERN INDUSTRIAL CERAMI,5589784.96,,,764821000,6481616.55,,,764821000,4022430.49,
FIBRECAST INC.,160,,,DELTA REFRACTORIES,5546115.08,,,726000062,6309275.85,,,764901000,2419071.63,
REFRACTORY ENGINEERS INC.,155,,,INDUSTRIAL FURNACE CO,5530092.06,,,733649000,5735424.16,,,733649000,2044072.53,
MCNEIL INC.,149,,,PYROTEK INC,5108886.59,,,764901000,4258342.73,,,726000062,2022761.81,
WESTERN INDUSTRIAL CERAMI,146,,,REX ROTO CORP,4956097.43,,,727000060,3769536.9,,,764703110,1698751.07,
DELTA REFRACTORIES,144,,,BRYANT REFRACTORY CO.,4785301.55,,,764521000,2768182.6,,,764521000,1666693.64,
CHRISTY REFRACTORIES CO,137,,,BAY INDUSTRIES INC.,4559682.73,,,735602110,2575975.8,,,735602110,1660109.27,
THERMAL PRODUCTS INC,136,,,CHIZ BROS INC,4281302.88,,,764703110,2557840.04,,,764706120,1266632.62,
RHI CANADA INC.,128,,,ZAR-TECH,3748205.92,,,727032004,2514017.7,,,766121000,1265261.64,
BRYANT REFRACTORY CO.,128,,,FIBRECAST INC.,3709678.47,,,766121000,2013406.6,,,727000060,1134244.58,
SMITH - SHARPE,116,,,RHI CANADA INC.,3490034.65,,,726000242,1891816.8,,,737871000,1004542.52,
REFRACTORY SERVICE INC.,114,,,VESUVIUS USA,3318451.04,,,726020033,1842173.6,,,734990000,934093.73,
OHIO INDUSTRIAL SALES INC,109,,,ETS SCHAEFER,3159367.24,,,764706120,1725405.72,,,764643054,884098.51,
INDUST'L FIREBRICK OF DET,109,,,3M COMPANY,3106603.2,,,764643054,1629403.92,,,764822000,870076.53,
"THE SCHAEFER GROUP, INC.",107,,,REFRACTORY ENGINEERS INC.,2952172.08,,,737871000,1550299.44,,,768221000,864079.71,
UPSTATE REFRACTORY SERVIC,85,,,TRINITY INDUSTRIES INC,2921145.52,,,764901050,1528403.4,,,764901050,860935.84,
I S A SALES & SERVICE,80,,,SPECIALTY PRODUCTS,2771268.82,,,732690000,1488451.41,,,734311100,829548.87,
ALLIANCE REFRACTORIES LTD,76,,,ALLIANCE REFRACTORIES LTD,2753391.14,,,768221000,1429982.8,,,732820000,817727.1,
GT MIDWEST,74,,,I S A SALES & SERVICE,2726576.24,,,737321000,1411663.64,,,727000140,814177.16,
F.S. SPERRY COMPANY,73,,,REFRACTORY SPECIALTIES IN,2530849.23,,,764822000,1290574.1,,,737321000,812278.26,
PYROTEK INC.,69,,,SPECIALTY CERAMICS INC,2456415.3,,,777690062,1287662.2,,,726000242,809731.52,
INDUSTRIAL FIREBRICK WHSE,67,,,OHIO INDUSTRIAL SALES INC,2336314.78,,,764781040,1275086.4,,,732690000,761403.94,
INSULATION FABRICATORS,67,,,GT MIDWEST,2305090.58,,,734990000,1258279.28,,,727032004,759445.67,
DISTRIBUTION INT'L.,64,,,JOY MARK,2295794.88,,,726000240,1236825.12,,,723800000,758439,
INDUSTRIAL FURNACE CO,62,,,ARI - MARMADUKE,2280811.2,,,764521300,1198557.2,,,733211000,673049.33,
INSULATION MATERIALS CORP,62,,,"THE SCHAEFER GROUP, INC.",2158430.17,,,727000140,1196597.44,,,733151500,666403.14,
ETS SCHAEFER,61,,,VACUFORM INC.,2064965.75,,,723800000,1105288.75,,,764601000,641272.42,
INTERNATIONAL TECHNIFAB,61,,,MCNEIL INC.,2032424.28,,,764601000,1069229.91,,,726000240,639793.54,
SHOOK & FLETCHER INSUL CO,54,,,BRIGHTSOURCE CONSTRUCTION,1998128.94,,,766121610,1066552.96,,,766121610,628956.07,
"MEGTEC SYSTEMS, INC",52,,,INSULATION FABRICATORS,1968318.33,,,726020009,1062922.8,,,733525600,610548.28,
PTI THERMAL SOLUTIONS,51,,,INTERNATIONAL TECHNIFAB,1943313.52,,,764030000,1014976.12,,,764781040,588640.51,
HARPER INTERNATIONAL CORP,50,,,HARBISON-WALKER REFR.,1877133.37,,,727031200,1009569.76,,,764521300,584670.67,
BRIGHTSOURCE CONSTRUCTION,48,,,REFRACTORY SERVICE INC.,1859798.46,,,734311100,992458.38,,,726020005,579450.54,
WILLIAMS INDUSTRIAL SERVI,47,,,SHOOK & FLETCHER INSUL CO,1839093.76,,,733211000,988860.5,,,734173000,567635.26,
HARBISON-WALKER REFR.,47,,,ARMIL / C F S INC,1818271.57,,,726020031,988051.52,,,737851000,550230.8,
INDUSTRIAL INSULATION,43,,,DISTRIBUTION INT'L.,1814975.58,,,726020005,962737.76,,,768241000,547337.64,
REFRACTORY SPECIALTIES IN,42,,,SELEE CORP,1770235.31,,,768241000,950295.73,,,764781000,541017.3,
REX ROTO CORP,42,,,PTI THERMAL SOLUTIONS,1656505.17,,,739781100,925003.66,,,733525500,540927.57,
BAY INDUSTRIES INC.,41,,,CHRISTY REFRACTORIES CO,1561863.47,,,734173000,916048.65,,,793330000,527734.74,
BRUCKNER SUPPLY,38,,,PYROTEK INC.,1453559.08,,,766121132,915895.6,,,735750000,515541.54,
ATLANTECH DISTRIBUTION,37,,,SMITH - SHARPE,1412840.07,,,715000000,908272.25,,,771320000,511096.32,
CHRISTY INDUSTRIAL SERVIC,36,,,UTLX MANUFACTURING,1283442.67,,,764781000,905148.2,,,764040000,488040.04,
CERAMIC SYSTEMS INC.,36,,,PYROTEK INC (DRUMMONDVILL,1279297.6,,,732820000,899293.86,,,724003000,486079.41,
PLIBRICO COMPANY LLC,33,,,INSULATION MATERIALS CORP,1235186.75,,,764643052,872370.81,,,726020031,482498.95,
MOTION INDUSTRIES,32,,,INDUSTRIAL FIREBRICK WHSE,1184220.9,,,735750000,865432,,,764643052,468433.06,
PLIBRICO REFRACTORY,32,,,UTLX MANUFACTURING INC.,1181413.23,,,733151500,842787.2,,,764652002,456424.89,
A&F WHOLESALE INSULATION,30,,,INSULATION SPECIALTIES,1179828.6,,,737851000,828381.14,,,734351200,452683.1,
SHAW ENERGY & CHEMICALS,29,,,THERMAL STRUCTURES,1172244.33,,,733525600,783770,,,733586500,447105.88,
SPECIALTY PRODUCTS,29,,,EXOCHEM CORPORATION,1067143.5,,,724003000,711545.95,,,734910000,423536.1,
HI-TEMP FABRICATION INC.,29,,,TIGHITCO INC.,1060240.7,,,764040000,708662.96,,,734351203,414396.86,
DURR SYSTEMS INC.,29,,,SHOOK & FLETCHER,1013238.21,,,733525500,708637.87,,,739781100,393991.97,
PYROTEK INC (DRUMMONDVILL,28,,,INDUST'L FIREBRICK OF DET,986469.36,,,763991000,705518.56,,,766121132,386875.29,
PROCEDYNE CORP,26,,,AMCOR AMERICAN METALS,985944.8,,,726000080,684779.52,,,764821030,377330.23,
AGIS,26,,,EXPRESS METAL FAB INC.,947177.21,,,793330000,682168.4,,,764902000,376614.19,
ZIRCAR CERAMICS INC,25,,,HEARTH & HOME TECHNOLOGIE,943076.52,,,771320000,674324.27,,,777601000,375436.81,
SPECIALTY FOUNDRY PRODUCT,25,,,"INTERNATIONAL PAINT, INC.",939270.25,,,739741100,662303.66,,,768222000,370851.45,
CORNING SHARED SERVICES,25,,,CERAMIC SYSTEMS INC.,919058.12,,,734910000,654695.65,,,733403200,370501.61,
THERMAL STRUCTURES,24,,,F.S. SPERRY COMPANY,885496.7,,,766122000,647878,,,733211050,364603.36,
APPLIED INDUSTRIAL TECH.,24,,,VESUVIUS MEXICO SA DE CV,871222.5,,,792700000,647192,,,726020033,359055.29,
SHOOK & FLETCHER,23,,,PACIFIC INSULATION CO.,799899.83,,,733586600,620635.68,,,766122000,348971.11,
LYNN MANUFACTURING INC.,23,,,ATLANTECH DISTRIBUTION,773795.47,,,754164100,614952.36,,,727080000,347308.12,
